mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	3	4/4	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	3	4/4	1	0						3
3	2	5	4.0	3	4/4	1	0				line		4
4	3	9	4.0	3	4/4	1	0						5
5	4	13	4.0	3	4/4	1	0						6
6	5	17	4.0	3	4/4	1	0				line		7
7	6	21	4.0	3	4/4	1	0						8
8	7	25	4.0	3	4/4	1	0						9
9	8	29	4.0	3	4/4	1	0				line		10
10	9	33	4.0	3	4/4	1	0						11
11	10	37	4.0	3	4/4	1	0						12
12	11	41	4.0	3	4/4	1	0				page		13
13	12	45	4.0	3	4/4	1	0						14
14	13	49	4.0	3	4/4	1	0						15
15	14	53	4.0	3	4/4	1	0				line		16
16	15	57	4.0	3	4/4	1	0						17
17	16	61	4.0	3	4/4	1	0						18
18	17	65	4.0	3	4/4	1	0				line		19
19	18	69	4.0	3	4/4	1	0						20
20	19	73	4.0	3	4/4	1	0						21
21	20	77	4.0	3	4/4	1	0				line		22
22	21	81	4.0	3	4/4	1	0						23
23	22	85	4.0	3	4/4	1	0						24
24	23	89	4.0	3	4/4	1	0				line		25
25	24	93	4.0	3	4/4	1	0						26
26	25	97	4.0	3	4/4	1	0						27
27	26	101	1.0	3	4/4	1/4	0				page	end	1, 28
28	26	102	3.0	3	4/4	3/4	1/4		1	start-repeat		start	29
29	27	105	4.0	3	4/4	1	0						30
30	28	109	4.0	3	4/4	1	0				line		31
31	29	113	4.0	3	4/4	1	0						32
32	30	117	4.0	3	4/4	1	0				line		33
33	31	121	4.0	3	4/4	1	0						34
34	32	125	4.0	3	4/4	1	0						35
35	33	129	4.0	3	4/4	1	0				line		36
36	34	133	4.0	3	4/4	1	0						37
37	35	137	4.0	3	4/4	1	0						38
38	36	141	4.0	3	4/4	1	0				page		39
39	37	145	4.0	3	4/4	1	0						40
40	38	149	4.0	3	4/4	1	0						41
41	39	153	4.0	3	4/4	1	0				line		42
42	40	157	4.0	3	4/4	1	0						43
43	41	161	4.0	3	4/4	1	0						44
44	42	165	4.0	3	4/4	1	0				line		45
45	43	169	4.0	3	4/4	1	0						46
46	44	173	4.0	3	4/4	1	0						47
47	45	177	4.0	3	4/4	1	0				line		48
48	46	181	4.0	3	4/4	1	0						49
49	47	185	4.0	3	4/4	1	0						50
50	48	189	4.0	3	4/4	1	0						51
51	49	193	1.0	3	4/4	1/4	0					end	28, -1
